tau,delta,effect_size,reject,min_size>=10,method,linkage
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,1,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
NA,1.0,0.0,0,0,Gao,single
