tau,delta,effect_size,reject,min_size>=10,method,linkage
NA,1.0,0.5598086124401914,0,1,Gao,average
NA,1.0,0.5454545454545454,0,0,Gao,average
NA,1.0,0.6108597285067874,0,1,Gao,average
NA,1.0,0.5833333333333334,0,1,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5565610859728507,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6818181818181818,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.577639751552795,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5,1,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5026455026455027,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.504,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.7232142857142857,0,1,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.6022727272727273,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.625,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.6172248803827751,0,1,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.504,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,1,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6088888888888889,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.6832579185520362,0,1,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.5598086124401914,1,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5555555555555556,1,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5803571428571429,0,1,Gao,average
NA,1.0,0.5357142857142857,0,1,Gao,average
NA,1.0,0.625,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.577639751552795,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.66,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5370370370370371,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5113636363636364,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5370370370370371,0,1,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.6521739130434783,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6022727272727273,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.54,0,1,Gao,average
NA,1.0,0.6108597285067874,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.577639751552795,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.54,1,1,Gao,average
NA,1.0,0.5238095238095238,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5138888888888888,0,0,Gao,average
NA,1.0,0.5803571428571429,0,1,Gao,average
NA,1.0,0.6428571428571429,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5238095238095238,0,0,Gao,average
NA,1.0,0.6022727272727273,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.69377990430622,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5023923444976076,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5092592592592593,0,1,Gao,average
NA,1.0,0.5172413793103449,1,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.59,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6521739130434783,0,0,Gao,average
NA,1.0,0.5092592592592593,0,1,Gao,average
NA,1.0,0.504,0,0,Gao,average
NA,1.0,0.504,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.66,0,1,Gao,average
NA,1.0,0.504,0,0,Gao,average
NA,1.0,0.5555555555555556,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5026455026455027,0,0,Gao,average
NA,1.0,0.5172413793103449,1,0,Gao,average
NA,1.0,0.7142857142857143,0,0,Gao,average
NA,1.0,0.504,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5454545454545454,0,0,Gao,average
NA,1.0,0.6022727272727273,0,0,Gao,average
NA,1.0,0.5113636363636364,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6296296296296297,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6481481481481481,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.6481481481481481,0,1,Gao,average
NA,1.0,0.5454545454545454,0,0,Gao,average
NA,1.0,0.5172413793103449,1,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.7737556561085973,0,1,Gao,average
NA,1.0,0.5565610859728507,0,1,Gao,average
NA,1.0,0.6296296296296297,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5661375661375662,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5357142857142857,0,1,Gao,average
NA,1.0,0.5172413793103449,1,0,Gao,average
NA,1.0,0.5833333333333334,0,1,Gao,average
NA,1.0,0.6172248803827751,0,1,Gao,average
NA,1.0,0.5113636363636364,0,0,Gao,average
NA,1.0,0.5279503105590062,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.51,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6172248803827751,0,1,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.504,0,0,Gao,average
NA,1.0,0.5454545454545454,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5,1,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.69377990430622,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.625,0,0,Gao,average
NA,1.0,0.7142857142857143,0,0,Gao,average
NA,1.0,0.625,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5113636363636364,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5092592592592593,0,1,Gao,average
NA,1.0,0.66,0,1,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5092592592592593,0,1,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6521739130434783,0,0,Gao,average
NA,1.0,0.5661375661375662,0,0,Gao,average
NA,1.0,0.504,0,0,Gao,average
NA,1.0,0.5565610859728507,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6521739130434783,0,0,Gao,average
NA,1.0,0.5598086124401914,0,1,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6481481481481481,0,1,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5192307692307693,1,0,Gao,average
NA,1.0,0.6521739130434783,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.7232142857142857,0,1,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.6172248803827751,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.6022727272727273,0,0,Gao,average
NA,1.0,0.577639751552795,0,0,Gao,average
NA,1.0,0.6172248803827751,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5031055900621118,0,0,Gao,average
NA,1.0,0.7232142857142857,0,1,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5022222222222222,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5113636363636364,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.59,0,1,Gao,average
NA,1.0,0.5803571428571429,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.8214285714285714,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6521739130434783,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.625,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5089285714285714,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5138888888888888,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.51,0,1,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.6296296296296297,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5555555555555556,1,0,Gao,average
NA,1.0,0.6521739130434783,0,0,Gao,average
NA,1.0,0.5,1,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.625,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.59,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.69377990430622,1,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.6428571428571429,1,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.6172248803827751,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5370370370370371,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5661375661375662,0,0,Gao,average
NA,1.0,0.5031055900621118,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.577639751552795,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5803571428571429,0,1,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.51,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6428571428571429,1,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.6022727272727273,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5555555555555556,0,1,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.54,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5279503105590062,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5598086124401914,0,1,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5238095238095238,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5113636363636364,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.6088888888888889,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5203619909502263,0,1,Gao,average
NA,1.0,0.5238095238095238,1,0,Gao,average
NA,1.0,0.5661375661375662,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5598086124401914,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5092592592592593,0,1,Gao,average
NA,1.0,0.6172248803827751,0,1,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5092592592592593,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5370370370370371,0,1,Gao,average
NA,1.0,0.5598086124401914,0,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.68,0,1,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.504,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,1,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.536,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5803571428571429,0,1,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5803571428571429,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,1,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5555555555555556,0,1,Gao,average
NA,1.0,0.5803571428571429,0,1,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.59,0,1,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.6108597285067874,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5357142857142857,1,0,Gao,average
NA,1.0,0.6832579185520362,0,1,Gao,average
NA,1.0,0.6022727272727273,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6818181818181818,0,0,Gao,average
NA,1.0,0.5803571428571429,0,1,Gao,average
NA,1.0,0.66,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.69377990430622,0,1,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5454545454545454,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5215311004784688,0,1,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.6296296296296297,0,0,Gao,average
NA,1.0,0.5092592592592593,0,1,Gao,average
NA,1.0,0.5555555555555556,0,0,Gao,average
NA,1.0,0.8214285714285714,0,1,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.577639751552795,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,1,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.6,0,0,Gao,average
NA,1.0,0.5192307692307693,0,0,Gao,average
NA,1.0,0.5113636363636364,0,0,Gao,average
NA,1.0,0.5,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5769230769230769,1,0,Gao,average
NA,1.0,0.5833333333333334,0,1,Gao,average
NA,1.0,0.5454545454545454,0,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5357142857142857,0,0,Gao,average
NA,1.0,0.625,1,0,Gao,average
NA,1.0,0.5061728395061729,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.54,1,1,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
NA,1.0,0.5172413793103449,1,0,Gao,average
NA,1.0,0.5769230769230769,0,0,Gao,average
NA,1.0,0.5172413793103449,0,0,Gao,average
