,pval,alpha,reject
0,1.0,0.0,False
1,1.0,0.0,False
2,1.0,0.0,False
3,1.0,0.0,False
4,1.0,0.0,False
5,1.0,0.0,False
6,1.0,0.0,False
7,1.0,0.0,False
8,1.0,0.0,False
9,1.0,0.0,False
10,1.0,0.0,False
11,1.0,0.0,False
12,1.0,0.0,False
13,1.0,0.0,False
14,1.0,0.0,False
15,1.0,0.0,False
16,1.0,0.0,False
17,1.0,0.0,False
18,0.8741190530763633,2.914561184099268e-06,False
19,1.0,0.0,False
20,0.48802749906601395,3.934246084575545e-06,False
21,1.0,0.0,False
22,0.4007673241642658,5.310676728435703e-06,False
23,0.22479130672607148,7.1686637560678455e-06,False
24,1.0,0.0,False
25,1.0,0.0,False
26,0.6326846676098872,9.67668390967906e-06,False
27,0.0,1.3062157003609271e-05,True
